incident_id,tcg_stolen_gun,tcg_not_stolen_gun,tcg_ratio,IsRatioCalculated
33706,2,0,,0
33732,6,0,,0
33752,2,0,,0
33762,4,2,2,1
33895,1,0,,0
33897,12,0,,0
33968,4,0,,0
33998,2,0,,0
34104,2,0,,0
34197,4,2,2,1
34204,4,0,,0
34222,2,0,,0
34352,2,0,,0
34379,1,0,,0
34411,1,0,,0
34414,2,0,,0
34421,1,0,,0
34426,2,0,,0
34630,2,0,,0
34651,4,4,1,1
34707,3,1,3,1
34711,2,0,,0
34716,1,0,,0
34717,4,0,,0
34741,1,0,,0
34868,2,0,,0
34879,4,0,,0
34881,1,0,,0
34892,1,0,,0
34897,2,1,2,1
35020,2,0,,0
35021,1,0,,0
35046,1,0,,0
35284,2,0,,0
35285,1,0,,0
35309,6,6,1,1
35311,2,0,,0
35337,1,0,,0
35338,1,1,1,1
35340,2,0,,0
35384,4,2,2,1
35389,2,0,,0
35414,2,2,1,1
35417,2,0,,0
35420,1,0,,0
35421,1,0,,0
35427,2,2,1,1
35433,1,0,,0
35437,2,2,1,1
35696,2,0,,0
35700,6,0,,0
35812,8,4,2,1
35843,1,0,,0
35846,1,0,,0
35850,1,0,,0
35898,1,1,1,1
35916,1,0,,0
35920,2,2,1,1
35921,1,0,,0
36112,5,1,5,1
36114,2,0,,0
36117,4,2,2,1
36123,1,0,,0
36254,1,0,,0
36255,6,0,,0
36262,2,0,,0
36269,1,1,1,1
36270,1,1,1,1
36272,1,0,,0
36438,1,0,,0
36557,4,0,,0
36565,4,0,,0
36574,2,1,2,1
36575,1,0,,0
36669,2,0,,0
36678,2,0,,0
36682,2,0,,0
36870,1,0,,0
36888,4,0,,0
36891,1,0,,0
36894,4,0,,0
36898,4,0,,0
36905,1,0,,0
36906,1,1,1,1
36908,1,0,,0
36910,6,0,,0
36915,1,0,,0
36916,2,0,,0
37078,3,0,,0
37081,6,0,,0
37101,1,0,,0
37108,6,0,,0
37112,2,0,,0
37117,4,0,,0
37118,1,0,,0
37121,1,0,,0
37373,2,0,,0
37423,3,0,,0
37424,1,0,,0
37428,1,0,,0
37466,3,0,,0
37467,2,0,,0
37470,4,2,2,1
37592,1,0,,0
37597,4,0,,0
37605,1,0,,0
37845,2,1,2,1
37846,4,0,,0
37847,2,0,,0
37849,1,0,,0
37876,1,0,,0
37877,2,2,1,1
37878,1,0,,0
37880,8,5,1.6000000000000001,1
37881,1,1,1,1
37886,2,0,,0
38060,2,0,,0
38067,1,0,,0
38151,2,0,,0
38157,1,0,,0
38158,4,0,,0
38363,1,0,,0
38364,10,0,,0
38368,4,0,,0
38375,2,0,,0
38379,2,0,,0
38449,1,0,,0
38456,1,0,,0
38460,1,0,,0
38639,4,2,2,1
38640,1,3,0.29999999999999999,1
38656,2,0,,0
38660,1,0,,0
38664,2,0,,0
38665,1,0,,0
38674,2,0,,0
38675,2,0,,0
38807,4,0,,0
38814,1,0,,0
38833,2,0,,0
38834,1,0,,0
38841,6,0,,0
38844,1,0,,0
39030,2,0,,0
39053,3,2,1.5,1
39065,2,0,,0
39076,4,0,,0
39084,2,0,,0
39139,1,0,,0
39148,4,0,,0
39150,6,0,,0
39156,10,4,2.5,1
39158,2,0,,0
39447,2,0,,0
39592,1,0,,0
39593,2,0,,0
39597,2,0,,0
39712,2,1,2,1
39737,18,0,,0
39820,2,0,,0
39823,6,4,1.5,1
39824,1,0,,0
39846,2,0,,0
39853,2,0,,0
39854,2,0,,0
39856,1,1,1,1
40034,1,0,,0
40050,4,0,,0
40069,1,0,,0
40079,8,0,,0
40131,4,0,,0
40133,2,0,,0
40184,2,0,,0
40185,2,0,,0
40306,4,0,,0
40367,3,0,,0
40456,4,0,,0
40458,1,1,1,1
40459,6,0,,0
40460,6,0,,0
40461,4,0,,0
40471,1,0,,0
40473,2,2,1,1
40475,1,0,,0
40603,2,0,,0
40631,4,0,,0
40654,6,0,,0
40657,5,2,2.5,1
40667,3,0,,0
40781,3,0,,0
40788,2,2,1,1
40789,2,2,1,1
40792,1,0,,0
40837,6,2,3,1
40838,1,0,,0
40856,5,1,5,1
40859,4,0,,0
41018,8,8,1,1
41021,2,0,,0
41046,3,1,3,1
41215,2,0,,0
41216,1,0,,0
41222,4,0,,0
41225,2,0,,0
41278,6,2,3,1
41280,4,0,,0
41326,1,0,,0
41331,1,0,,0
41453,2,0,,0
41458,1,0,,0
41621,2,0,,0
41639,6,0,,0
41651,1,0,,0
41654,1,0,,0
41659,6,0,,0
41674,6,0,,0
41675,1,1,1,1
41820,1,0,,0
41822,1,0,,0
41827,2,0,,0
41833,2,0,,0
41834,2,0,,0
41839,2,0,,0
41856,1,0,,0
41943,1,0,,0
41998,1,2,0.5,1
42000,8,2,4,1
42117,3,0,,0
42152,4,0,,0
42240,4,0,,0
42242,2,1,2,1
42321,8,0,,0
42324,2,0,,0
42328,2,0,,0
42345,6,0,,0
